Year,City,Category,Gold,Silver,Bronze,Total,4,5,6,7,8
2024,Paris,All,3,3,3,9,24,25,16,17,18
2024,Paris,Men,2,3,3,8,1,0,1,0,0
2024,Paris,Women,1,0,0,1,1,2,0,1,1
2020,Tokyo,All,0,0,2,2,24,25,26,67,18
2020,Tokyo,Men,0,0,2,2,2,1,1,4,0
2020,Tokyo,Women,0,0,0,0,0,1,1,2,1
2016,Rio de Janeiro,All,0,0,1,1,24,15,16,17,38
2016,Rio de Janeiro,Men,0,0,1,1,2,1,0,1,2
2016,Rio de Janeiro,Women,0,0,0,0,0,0,1,0,1
2012,London,All,1,3,0,4,24,05,16,17,28
2012,London,Men,0,3,0,3,0,0,0,0,1
2012,London,Women,1,0,0,1,2,0,1,1,1
2008,Beijing,All,2,3,1,6,14,25,16,47,18
2008,Beijing,Men,1,2,1,4,0,1,1,3,1
2008,Beijing,Women,1,1,0,2,1,1,0,1,0
2004,Athens,All,1,1,1,3,24,05,26,17,28
2004,Athens,Men,1,1,1,3,2,0,2,1,1
2004,Athens,Women,0,0,0,0,0,0,0,0,1
2000,Sydney,All,5,2,1,8,24,35,46,07,08
2000,Sydney,Men,3,1,0,4,2,3,2,0,0
2000,Sydney,Women,2,1,1,4,0,0,2,0,0
1996,Atlanta,All,5,3,1,9,14,35,16,07,18
1996,Atlanta,Men,2,1,1,4,1,2,1,0,1
1996,Atlanta,Women,3,2,0,5,0,1,0,0,0
1992,Barcelona,All,0,1,1,2,14,25,26,17,08
1992,Barcelona,Men,0,0,1,1,0,1,2,1,0
1992,Barcelona,Women,0,1,0,1,1,1,0,0,0
1988,Seoul,All,0,0,0,0,34,05,06,17,18
1988,Seoul,Men,0,0,0,0,2,0,0,1,1
1988,Seoul,Women,0,0,0,0,1,0,0,0,0
1984,Los Angeles,All,0,0,1,1,14,05,36,17,08
1984,Los Angeles,Men,0,0,1,1,1,0,2,1,0
1984,Los Angeles,Women,0,0,0,0,0,0,1,0,0
1980,Moscow,All,0,2,0,2,04,25,06,07,18
1980,Moscow,Men,0,2,0,2,0,2,0,0,1
1976,Montreal,All,0,1,0,1,04,15,06,17,08
1976,Montreal,Men,0,1,0,1,0,1,0,1,0
1972,Munich,All,1,0,0,1,14,05,06,07,08
1972,Munich,Men,1,0,0,1,1,0,0,0,0
1968,Mexico City,All,4,0,1,5,14,15,06,07,08
1968,Mexico City,Men,4,0,1,5,1,1,0,0,0
1964,Tokyo,All,0,0,2,2,14,05,16,07,08
1964,Tokyo,Men,0,0,2,2,1,0,1,0,0
1960,Rome,All,0,0,0,0,14,25,06,17,08
1960,Rome,Men,0,0,0,0,1,2,0,1,0
1956,Melbourne,All,2,2,0,4,04,15,06,07,18
1956,Melbourne,Men,2,2,0,4,0,1,0,0,1
1952,Helsinki,All,0,0,1,1,24,05,06,07,08
1952,Helsinki,Men,0,0,1,1,2,0,0,0,0
1948,London,All,3,0,2,5,04,05,06,07,08
1948,London,Men,3,0,2,5,0,0,0,0,0
1936,Berlin,All,3,2,2,7,14,05,06,07,08
1936,Berlin,Men,3,2,2,7,1,0,0,0,0
1932,Los Angeles,All,1,2,1,4,04,15,06,07,08
1932,Los Angeles,Men,1,2,1,4,0,1,0,0,0
1928,Amsterdam,All,1,0,0,1,24,15,06,17,18
1928,Amsterdam,Men,1,0,0,1,2,1,0,1,1
1924,Paris,All,4,0,2,6,14,05,06,17,18
1924,Paris,Men,4,0,2,6,1,0,0,1,1
1920,Antwerp,All,1,0,1,2,14,25,16,07,18
1920,Antwerp,Men,1,0,1,2,1,2,1,0,1
1908,London,All,1,2,2,5,24,55,06,07,08
1908,London,Men,1,2,2,5,2,5,0,0,0
1900,Paris,All,2,2,2,6,24,85,16,27,08
1900,Paris,Men,2,2,2,6,2,8,1,2,0
1896,Athens,All,4,1,1,6,04,15,06,07,08
1896,Athens,Men,4,1,1,6,0,1,0,0,0
